Aufr. Ku.	Auhns.&#10;— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 12,307	G. Curtius, grundzuge der griechischen etymologie bd. II, angez.&#10;— H. Schweizer-Sidlerʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 12,184	Romanische elemente in den langobardischen gesetzen.&#10;— Pottʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 12,186—188	Romanische elemente in den langobardischen gesetzen.&#10;— Pottʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 1,445	Saraṇyû, Ἐϱιννύς.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 4,317	Ueber PA-TI, ΠΟ-ΣΙ, PO-TI.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 12,120	Ueber das ursprüngliche vorhandensein von wurzeln, derenanlaut und auslaut eine aspirate enthielt.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 12,126	Ueber das ursprüngliche vorhandensein von wurzeln, derenanlaut und auslaut eine aspirate enthielt.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 12,132	Ueber das ursprüngliche vorhandensein von wurzeln, derenanlaut und auslaut eine aspirate enthielt.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 12,138	Ueber das ursprüngliche vorhandensein von wurzeln, derenanlaut und auslaut eine aspirate enthielt.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 3,324	Ueber des alte S und einige damit verbundene lautentwicklungen (5ter artikel)&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 2,131	Ueber des alte S und einige damit verbundene lautentwicklungen (Dritter artikel)&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 2,138	Ueber des alte S und einige damit verbundene lautentwicklungen (Dritter artikel)&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 12,106	Ueber die aspiraten und ihr gleichzeitiges vorhandensein im an- und auslaut der wurzeln.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 11,3	Ueber die verbindung der stummen consonanten mit folgendum v und die davon abhängigen erscheinungen I. und II. abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 11,12	Ueber die verbindung der stummen consonanten mit folgendum v und die davon abhängigen erscheinungen I. und II. abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 11,13	Ueber die verbindung der stummen consonanten mit folgendum v und die davon abhängigen erscheinungen I. und II. abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
