¦  (\u00a6) 11506 := BROKEN BAR
ד  (\u05d3)     1 := HEBREW LETTER DALET
נ  (\u05e0)     1 := HEBREW LETTER NUN
ר  (\u05e8)     1 := HEBREW LETTER RESH
ḍ  (\u1e0d)   773 := LATIN SMALL LETTER D WITH DOT BELOW
ḥ  (\u1e25)   128 := LATIN SMALL LETTER H WITH DOT BELOW
ḷ  (\u1e37)     4 := LATIN SMALL LETTER L WITH DOT BELOW
ṃ  (\u1e43)  2140 := LATIN SMALL LETTER M WITH DOT BELOW
ṅ  (\u1e45)   497 := LATIN SMALL LETTER N WITH DOT ABOVE
ṇ  (\u1e47)  7021 := LATIN SMALL LETTER N WITH DOT BELOW
ṛ  (\u1e5b)  7900 := LATIN SMALL LETTER R WITH DOT BELOW
ṛ́  (\u1e5b\u0301)  2895 := LATIN SMALL LETTER R WITH DOT BELOW + COMBINING ACUTE ACCENT
ṝ  (\u1e5d)    56 := LATIN SMALL LETTER R WITH DOT BELOW AND MACRON
ṝ́  (\u1e5d\u0301)   109 := LATIN SMALL LETTER R WITH DOT BELOW AND MACRON + COMBINING ACUTE ACCENT
ṣ  (\u1e63) 14813 := LATIN SMALL LETTER S WITH DOT BELOW
ṭ  (\u1e6d)  2388 := LATIN SMALL LETTER T WITH DOT BELOW
ẓ  (\u1e93)     1 := LATIN SMALL LETTER Z WITH DOT BELOW
ἀ  (\u1f00)    22 := GREEK SMALL LETTER ALPHA WITH PSILI
ἄ  (\u1f04)    17 := GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA
ἐ  (\u1f10)     9 := GREEK SMALL LETTER EPSILON WITH PSILI
ἑ  (\u1f11)     1 := GREEK SMALL LETTER EPSILON WITH DASIA
ἔ  (\u1f14)     7 := GREEK SMALL LETTER EPSILON WITH PSILI AND OXIA
ἕ  (\u1f15)     1 := GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA
Ἐ  (\u1f18)     1 := GREEK CAPITAL LETTER EPSILON WITH PSILI
ἠ  (\u1f20)     1 := GREEK SMALL LETTER ETA WITH PSILI
ἡ  (\u1f21)     2 := GREEK SMALL LETTER ETA WITH DASIA
ἤ  (\u1f24)     1 := GREEK SMALL LETTER ETA WITH PSILI AND OXIA
ἥ  (\u1f25)     3 := GREEK SMALL LETTER ETA WITH DASIA AND OXIA
ἰ  (\u1f30)     3 := GREEK SMALL LETTER IOTA WITH PSILI
ἱ  (\u1f31)     2 := GREEK SMALL LETTER IOTA WITH DASIA
ἴ  (\u1f34)     2 := GREEK SMALL LETTER IOTA WITH PSILI AND OXIA
ἵ  (\u1f35)     2 := GREEK SMALL LETTER IOTA WITH DASIA AND OXIA
ἶ  (\u1f36)     1 := GREEK SMALL LETTER IOTA WITH PSILI AND PERISPOMENI
ὀ  (\u1f40)     8 := GREEK SMALL LETTER OMICRON WITH PSILI
ὄ  (\u1f44)     5 := GREEK SMALL LETTER OMICRON WITH PSILI AND OXIA
ὅ  (\u1f45)     1 := GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA
ὐ  (\u1f50)     2 := GREEK SMALL LETTER UPSILON WITH PSILI
ὑ  (\u1f51)     2 := GREEK SMALL LETTER UPSILON WITH DASIA
ὔ  (\u1f54)     1 := GREEK SMALL LETTER UPSILON WITH PSILI AND OXIA
ὕ  (\u1f55)     1 := GREEK SMALL LETTER UPSILON WITH DASIA AND OXIA
ὖ  (\u1f56)     1 := GREEK SMALL LETTER UPSILON WITH PSILI AND PERISPOMENI
ὠ  (\u1f60)     2 := GREEK SMALL LETTER OMEGA WITH PSILI
ὤ  (\u1f64)     1 := GREEK SMALL LETTER OMEGA WITH PSILI AND OXIA
ὦ  (\u1f66)     1 := GREEK SMALL LETTER OMEGA WITH PSILI AND PERISPOMENI
ὰ  (\u1f70)     1 := GREEK SMALL LETTER ALPHA WITH VARIA
έ  (\u1f73)     1 := GREEK SMALL LETTER EPSILON WITH OXIA
ὴ  (\u1f74)     1 := GREEK SMALL LETTER ETA WITH VARIA
ὸ  (\u1f78)     1 := GREEK SMALL LETTER OMICRON WITH VARIA
ᾱ  (\u1fb1)     1 := GREEK SMALL LETTER ALPHA WITH MACRON
ᾶ  (\u1fb6)     1 := GREEK SMALL LETTER ALPHA WITH PERISPOMENI
ῆ  (\u1fc6)     8 := GREEK SMALL LETTER ETA WITH PERISPOMENI
ῑ  (\u1fd1)     1 := GREEK SMALL LETTER IOTA WITH MACRON
ΐ  (\u1fd3)     1 := GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA
ῖ  (\u1fd6)     4 := GREEK SMALL LETTER IOTA WITH PERISPOMENI
ῦ  (\u1fe6)     2 := GREEK SMALL LETTER UPSILON WITH PERISPOMENI
ῶ  (\u1ff6)     2 := GREEK SMALL LETTER OMEGA WITH PERISPOMENI
‒  (\u2012)    44 := FIGURE DASH
–  (\u2013)     5 := EN DASH
—  (\u2014) 14996 := EM DASH
“  (\u201c)   992 := LEFT DOUBLE QUOTATION MARK
„  (\u201e)   992 := DOUBLE LOW-9 QUOTATION MARK
‥  (\u2025)   308 := TWO DOT LEADER
…  (\u2026)   228 := HORIZONTAL ELLIPSIS
‿  (\u203f)  1048 := UNDERTIE
⁓  (\u2053)     2 := SWUNG DASH
⁾  (\u207e)     2 := SUPERSCRIPT RIGHT PARENTHESIS
√  (\u221a)  1010 := SQUARE ROOT
⏑  (\u23d1)    44 := METRICAL BREVE
⏓  (\u23d3)     5 := METRICAL SHORT OVER LONG
⸗  (\u2e17)     4 := DOUBLE OBLIQUE HYPHEN
〉  (\u3009) 43376 := RIGHT ANGLE BRACKET
〔  (\u3014)   894 := LEFT TORTOISE SHELL BRACKET
〕  (\u3015)   894 := RIGHT TORTOISE SHELL BRACKET
〰  (\u3030)  5958 := WAVY DASH
🞄  (\u1f784)   106 := BLACK SLIGHTLY SMALL CIRCLE
